IncidentId,SubscriptionId,TenantId,Region,CurrentLimitCapacity,AdditionalLimitCapacity,NewLimitCapacity,DeniedDate,ApprovedDate
603081913,8a894235-6495-4d29-a537-b4d5c9638a63,45383581-5435-4a2a-88e0-bea1466688d8,eastus2,512,44,512,2025-11-27T04:03:41.000Z,
603961530,48840256-5fa3-4d7d-b554-6efb8066aafb,f79c09b4-e935-4c35-908f-922944f9a28d,westeurope,10,128,10,2026-01-03T17:31:32.000Z,
613636224,48840256-5fa3-4d7d-b554-6efb8066aafb,f79c09b4-e935-4c35-908f-922944f9a28d,centralindia,83,44,127,,2025-09-12T00:07:44.000Z
618092636,52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc,southcentralus,3,512,515,2025-10-31T10:08:20.000Z,2025-11-01T08:08:20.000Z
618393554,a1220741-a432-477a-bf35-6da84ceb064e,18f92ede-423b-4ce9-b1c6-74749f8e547c,eastus2,20,83,20,2025-10-01T20:44:28.000Z,
621141184,48840256-5fa3-4d7d-b554-6efb8066aafb,f79c09b4-e935-4c35-908f-922944f9a28d,uksouth,3,10,13,2025-10-03T17:18:16.000Z,2025-10-04T11:18:16.000Z
624403309,52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc,eastus2,8,16,24,2025-12-11T15:22:13.000Z,2026-01-04T17:22:13.000Z
628732250,bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8,canadacentral,8,44,52,2025-11-12T22:01:16.000Z,2025-11-13T05:01:16.000Z
629331682,beec10bd-be70-4160-aee4-6557cbce5969,0bd72247-2522-4ca4-a4c8-911871116878,westeurope,16,150,166,2025-09-18T15:21:36.000Z,2025-09-28T23:21:36.000Z
630029263,c16d3988-89fd-40d7-8235-1053418eaf6d,54b2951a-c2b8-49e0-9a9b-ea8b4fdaceed,northeurope,20,3,23,,2025-11-01T20:39:24.000Z
632481817,beec10bd-be70-4160-aee4-6557cbce5969,0bd72247-2522-4ca4-a4c8-911871116878,westeurope,3,64,67,2025-09-06T21:25:10.000Z,2025-09-07T15:25:10.000Z
637481729,beec10bd-be70-4160-aee4-6557cbce5969,0bd72247-2522-4ca4-a4c8-911871116878,canadacentral,512,44,556,,2026-01-28T15:35:55.000Z
642734345,eeb4a0c5-d963-4af6-b1f4-bb176e5498c9,988f1884-4375-4df9-b57e-730ec51d127a,eastus2,67,3,67,2025-12-30T08:05:54.000Z,
643662126,c16d3988-89fd-40d7-8235-1053418eaf6d,54b2951a-c2b8-49e0-9a9b-ea8b4fdaceed,southcentralus,16,44,60,,2025-09-19T22:10:40.000Z
644325930,e04af942-bc91-4fe3-817c-b025a780158c,ec848dcd-1d5b-4721-b111-1726a7a7ac8d,canadacentral,83,20,103,2025-11-09T07:19:25.000Z,2025-12-06T16:19:25.000Z
651842883,925aa064-4127-4cc4-ae06-1ba32f5e48a1,4807869e-c518-4e19-8c9a-14b7ef9aaa2e,southcentralus,32,4,36,,2025-11-11T12:47:05.000Z
653572423,65b87677-1475-49fa-b11c-3fa1c73dca84,25455f57-3bae-4aef-8890-ead00b197d32,southcentralus,44,32,76,2025-10-28T00:51:41.000Z,2025-10-28T22:51:41.000Z
657076502,e2efb60e-f283-47fa-b99f-4e29ed4ba79e,4eb35397-30ef-47ce-aad0-8bf3d6046d44,uksouth,67,150,217,,2025-10-07T09:38:38.000Z
657377352,925aa064-4127-4cc4-ae06-1ba32f5e48a1,4807869e-c518-4e19-8c9a-14b7ef9aaa2e,eastus,10,83,93,2025-09-01T14:12:53.000Z,2025-09-15T04:12:53.000Z
658438638,52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc,canadaeast,512,3,515,2025-12-05T11:25:04.000Z,2025-12-11T12:25:04.000Z
661770953,1ead29b7-4e2e-48c5-9fd1-9b85669553b7,f008d267-2d06-4573-8180-8ac63be473b8,westeurope,0,4,4,2025-11-30T22:58:39.000Z,2025-12-07T05:58:39.000Z
666092929,1ead29b7-4e2e-48c5-9fd1-9b85669553b7,f008d267-2d06-4573-8180-8ac63be473b8,canadaeast,2,4,6,2025-10-24T23:56:03.000Z,2025-11-17T17:56:03.000Z
668376552,52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc,northcentralus,0,512,512,2025-12-13T19:36:15.000Z,2026-01-09T18:36:15.000Z
670119420,0911d0fa-d1d2-4cc8-986b-0c6206c20804,64424ff4-4021-4205-b4e0-6dc0fee3a937,canadaeast,32,3,35,2025-09-28T21:43:13.000Z,2025-09-29T11:43:13.000Z
676500721,0911d0fa-d1d2-4cc8-986b-0c6206c20804,64424ff4-4021-4205-b4e0-6dc0fee3a937,uksouth,512,48,560,2025-11-18T23:48:37.000Z,2025-12-09T23:48:37.000Z
676571007,343ddfa6-a60c-4e11-8164-105b6791e4f9,4d88cea1-2e20-4c16-a8b7-7e8e9619d5f2,canadacentral,150,10,160,,2025-10-19T10:48:10.000Z
677681988,48840256-5fa3-4d7d-b554-6efb8066aafb,f79c09b4-e935-4c35-908f-922944f9a28d,westeurope,4,83,87,2025-10-06T16:30:29.000Z,2025-11-01T03:30:29.000Z
678785840,343ddfa6-a60c-4e11-8164-105b6791e4f9,4d88cea1-2e20-4c16-a8b7-7e8e9619d5f2,westus2,128,2,130,2025-12-02T09:35:22.000Z,2025-12-23T14:35:22.000Z
682747470,c16d3988-89fd-40d7-8235-1053418eaf6d,54b2951a-c2b8-49e0-9a9b-ea8b4fdaceed,eastus,64,20,84,2025-11-03T03:44:33.000Z,2025-11-03T15:44:33.000Z
684678783,925aa064-4127-4cc4-ae06-1ba32f5e48a1,4807869e-c518-4e19-8c9a-14b7ef9aaa2e,northeurope,3,20,23,2025-12-26T20:39:01.000Z,2026-01-23T06:39:01.000Z
689538401,a64db328-74c9-48b6-863e-4925433f3578,9147ce84-92c9-4adf-b1aa-6f3482e999b0,centralindia,32,16,48,2025-12-23T20:05:09.000Z,2025-12-24T19:05:09.000Z
692794676,bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8,southcentralus,83,512,595,2025-09-15T14:01:28.000Z,2025-10-08T20:01:28.000Z
699110661,1ead29b7-4e2e-48c5-9fd1-9b85669553b7,f008d267-2d06-4573-8180-8ac63be473b8,canadacentral,8,128,8,2025-10-03T01:31:22.000Z,
700371734,0911d0fa-d1d2-4cc8-986b-0c6206c20804,64424ff4-4021-4205-b4e0-6dc0fee3a937,canadacentral,256,2,258,2025-11-16T11:48:07.000Z,2025-12-06T11:48:07.000Z
703285188,925aa064-4127-4cc4-ae06-1ba32f5e48a1,4807869e-c518-4e19-8c9a-14b7ef9aaa2e,canadaeast,128,512,640,2025-11-04T20:08:32.000Z,2025-11-06T00:08:32.000Z
706242954,a64db328-74c9-48b6-863e-4925433f3578,9147ce84-92c9-4adf-b1aa-6f3482e999b0,centralindia,44,150,194,2025-11-20T02:38:28.000Z,2025-11-20T03:38:28.000Z
707103679,8a894235-6495-4d29-a537-b4d5c9638a63,45383581-5435-4a2a-88e0-bea1466688d8,centralindia,64,150,214,,2026-01-11T16:26:17.000Z
709269327,735990b6-29a3-409e-acaa-b6cacba8a3b4,9c8d1772-ce89-46ea-b3f3-adf717d341bf,eastus2,4,128,132,2025-10-16T15:25:19.000Z,2025-11-04T05:25:19.000Z
710674438,10dca600-06b8-4e55-ab0d-efbca733e3aa,b47a8f79-59fc-492e-a6e9-5b9b837be30c,westus2,48,128,176,,2025-11-03T09:42:50.000Z
712862703,8a894235-6495-4d29-a537-b4d5c9638a63,45383581-5435-4a2a-88e0-bea1466688d8,northcentralus,10,48,10,2025-12-13T19:56:59.000Z,
714806332,7da2a5f7-27fc-4497-8922-d69a90daf646,a8aebaf7-a306-4580-9c00-5026a5ce753a,eastus,4,4,8,2025-12-23T05:25:36.000Z,2026-01-14T06:25:36.000Z
723020082,a1220741-a432-477a-bf35-6da84ceb064e,18f92ede-423b-4ce9-b1c6-74749f8e547c,canadaeast,4,4,4,2026-01-16T07:45:38.000Z,
724185777,beec10bd-be70-4160-aee4-6557cbce5969,0bd72247-2522-4ca4-a4c8-911871116878,eastus2,128,8,136,2025-09-13T23:44:37.000Z,2025-09-14T17:44:37.000Z
730302462,735990b6-29a3-409e-acaa-b6cacba8a3b4,9c8d1772-ce89-46ea-b3f3-adf717d341bf,canadacentral,8,256,264,,2025-11-02T17:13:13.000Z
735797388,e04af942-bc91-4fe3-817c-b025a780158c,ec848dcd-1d5b-4721-b111-1726a7a7ac8d,westus2,64,4,64,2025-11-02T13:27:14.000Z,
736279761,9e601720-6c49-4cd6-9ca3-66a474dd18ca,9f3d0aaa-a767-4745-bb3b-6da89db1e611,centralindia,44,512,556,,2025-10-21T05:33:52.000Z
740333417,a865a58f-61d4-48b9-8794-8467d00bc59a,beee7a61-5572-48db-93ae-4a48c0c66dfb,northeurope,16,64,80,,2025-11-01T09:40:14.000Z
750292587,343ddfa6-a60c-4e11-8164-105b6791e4f9,4d88cea1-2e20-4c16-a8b7-7e8e9619d5f2,canadaeast,8,32,8,2025-10-12T06:26:46.000Z,
756640927,925aa064-4127-4cc4-ae06-1ba32f5e48a1,4807869e-c518-4e19-8c9a-14b7ef9aaa2e,southcentralus,20,10,20,2026-01-09T17:58:06.000Z,
756813979,db9bf1e0-ef5e-4994-a731-344648156303,68b4d43a-68ff-427b-8ca8-51786a87f928,canadacentral,256,16,272,2025-09-08T18:29:22.000Z,2025-09-15T23:29:22.000Z
768749210,a1220741-a432-477a-bf35-6da84ceb064e,18f92ede-423b-4ce9-b1c6-74749f8e547c,southcentralus,16,4,16,2025-09-12T08:17:51.000Z,
770450686,0911d0fa-d1d2-4cc8-986b-0c6206c20804,64424ff4-4021-4205-b4e0-6dc0fee3a937,canadacentral,20,16,36,2025-12-28T13:48:55.000Z,2025-12-28T22:48:55.000Z
771798626,eeb4a0c5-d963-4af6-b1f4-bb176e5498c9,988f1884-4375-4df9-b57e-730ec51d127a,canadacentral,20,64,84,2025-12-17T02:02:11.000Z,2025-12-29T03:02:11.000Z
772196443,c571506a-b832-4578-8eb5-7c2b2a21b4fe,2937c8ae-f8ba-466d-b472-2c8f793dd5e1,northcentralus,512,64,576,2025-09-08T04:11:58.000Z,2025-09-09T09:11:58.000Z
