Region,FabricRegionName,PowerBI,AllFabricWorkloads,PowerBIOnly,WorkloadsAvailable,WorkloadsAvailableCount,WorkloadsPartlyAffected,UnavailableFeatureCount,UnavailableFeatures,IsSynthetic,Provenance
canadacentral,Canada Central,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,Fabric platform,1,Fabric App (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
canadaeast,Canada East,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,Fabric platform,1,Fabric App (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
eastus,US - East US,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Data Engineering;Data Science;Data Warehouse,7,Fabric IQ (preview);Fabric platform;Real-Time Intelligence,3,Fabric App (preview);Operations agent (preview);Plan (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
eastus2,US - East US 2,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,Fabric platform,1,Fabric App (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
northcentralus,US - North Central US,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,,0,,False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
southcentralus,US - South Central US,True,True,False,Power BI;Databases;Data Factory;Data Engineering;Data Science;Data Warehouse,6,Fabric IQ (preview);Fabric platform;Industry Solutions;Real-Time Intelligence,6,Digital twin builder (preview);Fabric App (preview);Healthcare Solutions;Ontology (preview);Operations agent;Schema Registry (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
westus2,US - West US 2,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,,0,,False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
northeurope,Europe - North Europe,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),8,Fabric platform;Real-Time Intelligence,2,Digital twin builder (preview);Fabric App (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
westeurope,Europe - West Europe,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,,0,,False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
uksouth,UK South,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,Fabric platform,1,Fabric App (preview),False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
centralindia,India - Central India,True,True,False,Power BI;Databases;Data Factory;Industry Solutions;Real-Time Intelligence;Data Engineering;Data Science;Data Warehouse;Fabric IQ (preview),9,,0,,False,"REAL - https://learn.microsoft.com/en-us/fabric/admin/region-availability, captured 2026-08-25"
