CapacityId,DatacentreId,Region,SiteType,FabricSku,CapacityUnits,DeployedUnits,SupportsFreeViewers,IsSynthetic,Provenance,SubscriptionId,TenantId
southcentralus-dc01-cap01,southcentralus-dc01,southcentralus,Dedicated,F2,2,4,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc01-cap02,southcentralus-dc01,southcentralus,Dedicated,F2,2,4,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc
southcentralus-dc01-cap03,southcentralus-dc01,southcentralus,Dedicated,F4,4,8,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc01-cap04,southcentralus-dc01,southcentralus,Dedicated,F16,16,32,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc
southcentralus-dc01-cap05,southcentralus-dc01,southcentralus,Dedicated,F4,4,8,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc02-cap01,southcentralus-dc02,southcentralus,Dedicated,F32,32,64,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc02-cap02,southcentralus-dc02,southcentralus,Dedicated,F64,64,128,True,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc02-cap03,southcentralus-dc02,southcentralus,Dedicated,F8,8,16,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",343ddfa6-a60c-4e11-8164-105b6791e4f9,4d88cea1-2e20-4c16-a8b7-7e8e9619d5f2
southcentralus-dc02-cap04,southcentralus-dc02,southcentralus,Dedicated,F64,64,128,True,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc02-cap05,southcentralus-dc02,southcentralus,Dedicated,F4,4,8,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc
southcentralus-dc03-cap01,southcentralus-dc03,southcentralus,Dedicated,F2,2,4,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc
southcentralus-dc03-cap02,southcentralus-dc03,southcentralus,Dedicated,F32,32,64,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc
southcentralus-dc03-cap03,southcentralus-dc03,southcentralus,Dedicated,F2,2,4,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",bf409e3f-73a7-4e8c-91ca-85c52d51337b,273d75b3-526d-4729-9346-d584552de3b8
southcentralus-dc03-cap04,southcentralus-dc03,southcentralus,Dedicated,F8,8,16,False,True,"SYNTHETIC - generated, not a business source: every site is Shared (one large capacity, several workloads sharing its CU) or Dedicated (a capacity per workload, each at 100% of its own), split half and half from the site id; SKU rungs assigned directly on the real Fabric ladder; holder assigned from the real subscriptions in the extract, weighted by capacity each account requested in that region",52f9c816-c626-47fa-8f55-a067dfc2ffdd,14b51215-081d-4680-87fb-3068a92160dc
