Date,Region,SKUClass,TotalUnits,UsedUnits,UtilisationPct,IsSynthetic,Provenance
2025-09-01,southcentralus,Intel-highmem,3100.0,1708.5,55.11,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-02,southcentralus,Intel-highmem,3100.0,1699.6,54.83,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-03,southcentralus,Intel-highmem,3100.0,1699.2,54.81,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-04,southcentralus,Intel-highmem,3100.0,1708.7,55.12,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-05,southcentralus,Intel-highmem,3100.0,1670.8,53.9,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-06,southcentralus,Intel-highmem,3100.0,1629.8,52.57,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-07,southcentralus,Intel-highmem,3100.0,1574.4,50.79,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-08,southcentralus,Intel-highmem,3100.0,1757.1,56.68,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-09,southcentralus,Intel-highmem,3100.0,1792.6,57.83,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-10,southcentralus,Intel-highmem,3100.0,1807.8,58.31,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-11,southcentralus,Intel-highmem,3100.0,1811.4,58.43,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-12,southcentralus,Intel-highmem,3100.0,1795.6,57.92,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-13,southcentralus,Intel-highmem,3100.0,1728.7,55.77,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-14,southcentralus,Intel-highmem,3100.0,1701.5,54.89,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-15,southcentralus,Intel-highmem,3100.0,1805.2,58.23,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-16,southcentralus,Intel-highmem,3100.0,1855.3,59.85,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-17,southcentralus,Intel-highmem,3100.0,1849.2,59.65,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-18,southcentralus,Intel-highmem,3100.0,1870.5,60.34,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-19,southcentralus,Intel-highmem,3100.0,1837.8,59.28,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-20,southcentralus,Intel-highmem,3100.0,1749.4,56.43,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-21,southcentralus,Intel-highmem,3100.0,1848.1,59.61,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-22,southcentralus,Intel-highmem,3100.0,1849.9,59.68,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-23,southcentralus,Intel-highmem,3100.0,1820.5,58.72,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-24,southcentralus,Intel-highmem,3100.0,1873.9,60.45,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-25,southcentralus,Intel-highmem,3100.0,1887.5,60.89,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-26,southcentralus,Intel-highmem,3100.0,1921.1,61.97,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-27,southcentralus,Intel-highmem,3100.0,1892.2,61.04,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
2025-09-28,southcentralus,Intel-highmem,3100.0,1903.6,61.4,True,"SYNTHETIC - generated, not a business source: utilisation curve grown in proportion to observed request volume"
