EventDate,Region,SubscriptionId,EventType,ExpectedCapacityUnits,LinkedIncidentId,IsSynthetic,Provenance
2025-09-07,southcentralus,bf409e3f-73a7-4e8c-91ca-85c52d51337b,Renewal upsized,512,692794676,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-09-11,westeurope,beec10bd-be70-4160-aee4-6557cbce5969,Pilot converted,150,629331682,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-09-28,canadacentral,1ead29b7-4e2e-48c5-9fd1-9b85669553b7,Renewal upsized,128,699110661,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-09-30,northcentralus,,Marketing campaign,0,,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-01,eastus2,,Marketing campaign,0,,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-01,uksouth,e2efb60e-f283-47fa-b99f-4e29ed4ba79e,Expansion signed,150,657076502,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-05,canadacentral,,Marketing campaign,0,,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-15,centralindia,9e601720-6c49-4cd6-9ca3-66a474dd18ca,Expansion signed,512,736279761,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-17,westeurope,,Marketing campaign,0,,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-24,canadacentral,735990b6-29a3-409e-acaa-b6cacba8a3b4,Pilot converted,256,730302462,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-10-28,southcentralus,52f9c816-c626-47fa-8f55-a067dfc2ffdd,Pilot converted,512,618092636,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-11-02,canadaeast,925aa064-4127-4cc4-ae06-1ba32f5e48a1,Deal closed,512,703285188,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-11-13,centralindia,a64db328-74c9-48b6-863e-4925433f3578,Renewal upsized,150,706242954,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-11-21,westeurope,,Marketing campaign,0,,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-12-03,eastus2,,Marketing campaign,0,,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2025-12-11,northcentralus,52f9c816-c626-47fa-8f55-a067dfc2ffdd,Deal closed,512,668376552,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2026-01-01,westeurope,a865a58f-61d4-48b9-8794-8467d00bc59a,Expansion signed,512,792632554,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
2026-01-05,centralindia,8a894235-6495-4d29-a537-b4d5c9638a63,Deal closed,150,707103679,True,"SYNTHETIC - generated, not a business source: deal events seeded ahead of the largest observed requests, plus unlinked noise"
