WorkspaceId,WorkloadName,CapacityId,Region,FabricWorkloadType,ShareOfCapacityPct,IsSynthetic,Provenance
southcentralus-dc01-cap01-ws01,Marketing-Analytics,southcentralus-dc01-cap01,southcentralus,Data Science,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc01-cap02-ws01,Sales-BI,southcentralus-dc01-cap02,southcentralus,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc01-cap03-ws01,Marketing-Analytics,southcentralus-dc01-cap03,southcentralus,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc01-cap04-ws01,Customer-360,southcentralus-dc01-cap04,southcentralus,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc01-cap05-ws01,Supply-Chain,southcentralus-dc01-cap05,southcentralus,Data Engineering,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc02-cap01-ws01,Exec-Dashboards,southcentralus-dc02-cap01,southcentralus,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc02-cap02-ws01,Sales-BI,southcentralus-dc02-cap02,southcentralus,Real-Time Intelligence,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc02-cap03-ws01,Sales-BI,southcentralus-dc02-cap03,southcentralus,Power BI,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc02-cap04-ws01,Product-Analytics,southcentralus-dc02-cap04,southcentralus,Data Factory,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
southcentralus-dc02-cap05-ws01,Marketing-Analytics,southcentralus-dc02-cap05,southcentralus,Data Warehouse,100.0,True,"SYNTHETIC - generated, not a business source: workload assignment and consumption share invented; a shared site's capacity carries two to five workloads summing to 100%, a dedicated site's capacity carries exactly one at 100%; capacities and the SKU ladder are real"
