Region,SKUClass,DeployedUnits,LargestObservedCustomerLimit,IsSynthetic,Provenance
southcentralus,Intel-highmem,3100,83,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
centralindia,Intel-highmem,1792,83,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
westeurope,GPU-class,2600,32,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
northcentralus,GPU-class,2368,512,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
canadacentral,AMD-highmem,3216,512,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
canadaeast,AMD-highmem,3700,512,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
eastus2,AMD-highmem,2376,512,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
uksouth,AMD-highmem,2764,512,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
westus2,AMD-standard,2724,128,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
eastus,AMD-highmem,3192,64,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
northeurope,AMD-standard,2464,20,True,"SYNTHETIC - generated, not a business source: deployed units summed from the Fabric capacities standing in each region"
