SKUClass,Supplier,EffectiveFrom,LeadTimeDays,IsSynthetic,Provenance
AMD-highmem,Dell,2025-03-01,12,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
AMD-highmem,Dell,2025-09-01,11,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
AMD-highmem,Dell,2026-01-05,10,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
AMD-standard,Dell,2025-03-01,18,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
AMD-standard,Dell,2025-09-01,20,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
AMD-standard,Dell,2026-01-05,21,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
GPU-class,Dell,2025-03-01,26,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
GPU-class,Dell,2025-09-01,30,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
GPU-class,Dell,2026-01-05,30,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
Intel-highmem,HPE,2025-03-01,20,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
Intel-highmem,HPE,2025-08-15,28,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
Intel-highmem,HPE,2026-01-05,45,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
Intel-standard,HPE,2025-03-01,21,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
Intel-standard,HPE,2025-09-01,21,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
Intel-standard,HPE,2026-01-05,21,True,"SYNTHETIC - generated, not a business source: lead-time history invented; the current value of each class matches sku_reference.csv and is not restated here"
